"year","species","D_cm","H_m","V_m3","X_utm","Y_utm"
1967,"fasy",42.2,26.04,1.4,12,31.26
1967,"fasy",24.6,21.68,0.4,42.2,96.62
1967,"fasy",23,21.05,0.4,54.91,52.39
1967,"fasy",49.9,27.14,2.3,75.68,87.33
1967,"fasy",36.8,25.05,1,53.55,83.22
1967,"fasy",30.2,23.48,0.7,30.87,86.89
1967,"fasy",49.5,27.09,2.3,0.51,63.95
1967,"fasy",24.5,21.64,0.4,93.3,52.62
1967,"fasy",17.4,18.31,0.13,14.52,86.53
1967,"fasy",37.9,25.27,1.4,28,64.64
1967,"fasy",33.2,24.25,1,17.01,67.35
1967,"fasy",26.5,22.35,0.4,10.41,84.8
1967,"fasy",35.5,24.78,1,59.84,35.65
1967,"fasy",35.9,24.86,1,90.03,87.57
1967,"fasy",38.5,25.39,1.4,22.72,35.94
1967,"fasy",33.9,24.42,1,74.79,52.53
1967,"fasy",42.8,26.14,1.8,98.82,16.77
1967,"fasy",32.7,24.13,1,81.51,86.68
1967,"fasy",42.6,26.1,1.8,79.93,97.94
1967,"fasy",32,23.96,0.7,71.87,38.51
1967,"fasy",39.9,25.64,1.4,79.78,5.29
1967,"fasy",39,25.48,1.4,21.48,89.32
1967,"fasy",60.5,28.26,3.4,23.87,43.92
1967,"fasy",64.5,28.6,4,16.23,50.07
1967,"fasy",34.4,24.53,1,97.55,39.38
1967,"fasy",40.3,25.72,1.4,33.67,71.38
1967,"fasy",30.1,23.45,0.7,67.56,36.84
1967,"fasy",38.2,25.33,1.4,86.23,88.98
1967,"fasy",24.3,21.56,0.4,8.17,13.51
1967,"fasy",37,25.09,1,56.64,26.76
1967,"fasy",34.9,24.64,1,73.05,29.26
1967,"fasy",46.9,26.75,1.8,39.74,43.63
1967,"fasy",17.8,18.54,0.2,71.34,21.24
1967,"fasy",35.7,24.82,1,54.53,13.69
1967,"fasy",41.5,25.92,1.4,33.62,51.56
1967,"fasy",35.7,24.82,1,42.52,20.14
1967,"fasy",41.7,25.96,1.4,94.54,18.06
1967,"fasy",44.4,26.39,1.8,26.39,18.7
1967,"fasy",46.5,26.69,1.8,9.5,62.14
1967,"fasy",50.9,27.26,2.3,24.69,40.85
1967,"fasy",30.3,23.51,0.7,10.04,9.88
1967,"fasy",36.7,25.03,1,28.36,82.32
1967,"fasy",47.9,26.88,2.3,22.56,34.24
1967,"fasy",32.8,24.16,1,18.16,47.19
1967,"fasy",47.1,26.77,1.8,49.01,69.19
1967,"fasy",38.8,25.44,1.4,22.77,18.03
1967,"fasy",27.3,22.61,0.4,58.91,16.84
1967,"fasy",29,23.14,0.7,66.56,83.82
1967,"fasy",38.4,25.37,1.4,52.43,31.75
1967,"fasy",38.1,25.31,1.4,76.45,34.04
1967,"fasy",37.5,25.19,1.4,46.9,59.25
1967,"fasy",38.5,25.39,1.4,18.13,74.2
1967,"fasy",28.6,23.02,0.7,77.69,59.89
1967,"fasy",35.2,24.71,1,6.78,9.79
1967,"fasy",29.1,23.16,0.7,29.01,16.92
1967,"fasy",42.2,26.04,1.4,82.9,3.93
1967,"fasy",39.8,25.63,1.4,58.1,86.91
1967,"fasy",38.3,25.35,1.4,71.73,35.9
1967,"fasy",36.8,25.05,1,79.27,15.06
1967,"fasy",40.7,25.79,1.4,29.02,19.51
1967,"fasy",28.7,23.05,0.7,19.09,90.2
1967,"fasy",44.3,26.37,1.8,28.19,50.69
1967,"fasy",21.5,20.41,0.2,63.44,4.3
1967,"fasy",40.6,25.77,1.4,77.24,95.08
1967,"fasy",37.6,25.21,1.4,91.58,36.4
1967,"fasy",44.3,26.37,1.8,35.3,99.21
1967,"fasy",37.7,25.23,1.4,20.54,53.36
1967,"fasy",30.4,23.53,0.7,86.31,61.47
1967,"fasy",27.1,22.55,0.4,75.15,71.41
1967,"fasy",40.3,25.72,1.4,50.94,69.43
1967,"fasy",23.4,21.21,0.4,97.08,55.72
1967,"fasy",29.3,23.22,0.7,48.86,34.3
1967,"fasy",27.2,22.58,0.4,78.05,23.89
1967,"fasy",44.6,26.42,1.8,43.79,91.91
1967,"fasy",41.1,25.85,1.4,29.92,47.67
1967,"fasy",41.3,25.89,1.4,63.85,88.13
1967,"fasy",28.8,23.08,0.7,83.28,54.83
1967,"fasy",39.1,25.5,1.4,54.62,56.09
1967,"fasy",46.4,26.68,1.8,4.22,74.84
1967,"fasy",35.3,24.73,1,96.58,17.85
1967,"fasy",44.9,26.46,1.8,21.05,74.89
1967,"fasy",21.4,20.36,0.2,35.72,37.3
1967,"fasy",31.4,23.8,0.7,24.04,94.45
1967,"fasy",30.3,23.51,0.7,16.68,96.94
1967,"fasy",38,25.29,1.4,58.49,21.75
1967,"fasy",32.6,24.11,1,11.41,82.43
1967,"fasy",41.3,25.89,1.4,74.39,72.74
1967,"fasy",34.9,24.64,1,43.48,7.98
1967,"fasy",33.1,24.23,1,45.37,96.37
1967,"fasy",40.6,25.77,1.4,20.3,36.39
1967,"fasy",34.6,24.58,1,90.2,24.32
1967,"fasy",19.4,19.4,0.2,29.08,35.06
1967,"fasy",19.9,19.65,0.2,15.57,71.24
1967,"fasy",21.8,20.54,0.2,0.31,51.77
1967,"fasy",36.1,24.9,1,43.9,28.63
1967,"fasy",37.2,25.13,1,1.46,85.19
1967,"fasy",54.8,27.7,2.8,13.99,96.75
1967,"fasy",41.8,25.97,1.4,36.86,10.6
1967,"fasy",43.5,26.25,1.8,42.33,69.9
1967,"fasy",23.2,21.13,0.4,81,54.11
1967,"fasy",24.3,21.56,0.4,15.78,30.45
1967,"fasy",41.3,25.89,1.4,76.29,57.4
1967,"fasy",39.3,25.53,1.4,57.06,65.16
1967,"fasy",51.7,27.36,2.3,5.84,52.73
1967,"fasy",43,26.17,1.8,23.12,10.28
1967,"fasy",36.9,25.07,1,95.36,71.93
1967,"fasy",40.2,25.7,1.4,26.6,4.15
1967,"fasy",50.4,27.2,2.3,44.3,33.51
1967,"fasy",40.2,25.7,1.4,73.46,77.55
1967,"fasy",37.3,25.15,1,30.85,62.21
1967,"fasy",24.4,21.6,0.4,42.29,97.74
1967,"fasy",48.4,26.95,2.3,97.65,85.28
1967,"fasy",48.7,26.99,2.3,11.23,79.09
1967,"fasy",37.7,25.23,1.4,18.4,62.51
1967,"fasy",20.8,20.09,0.2,47.52,27.7
1967,"fasy",39.5,25.57,1.4,54.78,55.08
1967,"fasy",46.2,26.65,1.8,47.54,94.8
1967,"fasy",30,23.42,0.7,64.84,54.07
1967,"fasy",45.7,26.58,1.8,16.25,83.45
1967,"fasy",52.2,27.42,2.3,83.47,23.16
1967,"fasy",41.9,25.99,1.4,36.45,37.87
1967,"fasy",40,25.66,1.4,35.71,3.07
1967,"fasy",42.6,26.1,1.8,63.73,74.39
1967,"fasy",40.8,25.8,1.4,85.24,91.42
1967,"fasy",30.4,23.53,0.7,1.55,73.81
1967,"fasy",38.6,25.4,1.4,4.9,38.28
1967,"fasy",34.2,24.49,1,32.56,43.6
1967,"fasy",30.5,23.56,0.7,61.57,12.28
1967,"fasy",37,25.09,1,22.26,14.12
1967,"fasy",51.4,27.32,2.3,42.56,98.99
1971,"fasy",44.23,26.223,1.8,33.62,51.56
1971,"fasy",52.221,27.359,2.3,42.56,98.99
1971,"fasy",40.411,25.697,1.4,28.98,56.59
1971,"fasy",22.146,20.907,0.2,35.72,37.3
1971,"fasy",30.572,23.679,0.7,48.86,34.3
1971,"fasy",33.748,24.401,1,45.37,96.37
1971,"fasy",39.308,25.519,1.4,18.13,74.2
1971,"fasy",41.404,25.867,1.4,50.94,69.43
1971,"fasy",26.837,22.561,0.4,5.16,53.2
1971,"fasy",41.512,25.881,1.4,33.67,71.38
1971,"fasy",38.677,25.393,1.4,8.74,71.86
1971,"fasy",34.021,24.457,1,12.74,85.3
1971,"fasy",40.409,25.689,1.4,48.5,71.08
1971,"fasy",36.393,24.962,1,43.48,7.98
1971,"fasy",45.311,26.474,1.8,66.85,55.33
1971,"fasy",30.489,23.718,0.7,19.09,90.2
1971,"fasy",48.81,26.937,2.3,31.14,15.83
1971,"fasy",43.827,26.178,1.8,76.29,57.4
1971,"fasy",31.287,23.82,0.7,61.57,12.28
1971,"fasy",27.833,22.863,0.7,78.05,23.89
1971,"fasy",47.926,26.824,2.3,39.74,43.63
1971,"fasy",40.123,25.672,1.4,47.89,65.71
1971,"fasy",45.776,26.561,1.8,52.34,5.66
1971,"fasy",33.646,24.419,1,71.87,38.51
1971,"fasy",23.378,21.793,0.4,64.92,98.77
1971,"fasy",38.761,25.389,1.4,59.28,25.59
1971,"fasy",31.583,23.934,0.7,16.68,96.94
1971,"fasy",38.739,25.417,1.4,76.45,34.04
1971,"fasy",27.98,23.08,0.7,51.42,55.19
1971,"fasy",21.712,20.79,0.2,47.52,27.7
1971,"fasy",48.434,26.863,2.3,49.01,69.19
1971,"fasy",39.696,25.555,1.4,18.4,62.51
1971,"fasy",45.296,26.295,1.8,4.6,13.86
1971,"fasy",29.884,23.474,0.7,66.56,83.82
1971,"fasy",41.567,25.91,1.4,29.92,47.67
1971,"fasy",39.359,25.527,1.4,7.66,97.67
1971,"fasy",44.515,26.324,1.8,23.12,10.28
1971,"fasy",32.205,24.078,0.7,85.72,59.05
1971,"fasy",36.037,24.899,1,90.2,24.32
1971,"fasy",41.219,25.789,1.4,12.17,37.06
1971,"fasy",33.51,24.35,1,81.51,86.68
1971,"fasy",31.754,23.971,0.7,86.31,61.47
1971,"fasy",27.9,22.841,0.7,36.05,41.95
1971,"fasy",37.85,25.238,1.4,54.53,13.69
1971,"fasy",45.272,26.481,1.8,13.79,41.99
1971,"fasy",43.804,26.133,1.8,73.46,77.55
1971,"fasy",43.167,26.109,1.8,63.85,88.13
1971,"fasy",43.289,26.176,1.8,71.35,32.44
1971,"fasy",34.135,24.711,1,38.15,59.46
1971,"fasy",38.849,25.427,1.4,67.27,17.26
1971,"fasy",38.126,25.292,1.4,28.36,82.32
1971,"fasy",41.254,25.863,1.4,29.02,19.51
1971,"fasy",29.751,23.444,0.7,83.28,54.83
1971,"fasy",38.689,25.406,1.4,53.71,65.7
1971,"fasy",39.172,25.498,1.4,22.72,35.94
1971,"fasy",45.694,26.422,1.8,98.82,16.77
1971,"fasy",37.416,25.166,1,53.55,83.22
1971,"fasy",37.046,25.091,1,42.52,20.14
1971,"fasy",18.518,19.156,0.2,34.66,59.14
1971,"fasy",39.75,25.587,1.4,22.77,18.03
1971,"fasy",39.429,25.502,1.4,79.27,15.06
1971,"fasy",31.513,23.884,0.7,14.67,60.56
1971,"fasy",45.204,26.454,1.8,28.19,50.69
1971,"fasy",49.038,26.915,2.3,75.67,52.72
1971,"fasy",48.719,26.935,2.3,22.56,34.24
1971,"fasy",40.032,25.649,1.4,54.78,55.08
1971,"fasy",38.654,25.386,1.4,30.85,62.21
1971,"fasy",39.378,25.507,1.4,20.54,53.36
1971,"fasy",34.77,24.631,1,74.79,52.53
1971,"fasy",35.091,24.688,1,61.5,57.67
1971,"fasy",51.584,27.295,2.3,24.69,40.85
1971,"fasy",43.026,26.142,1.8,16.29,24.34
1971,"fasy",30.206,23.552,0.7,4.16,55.26
1971,"fasy",37.747,25.225,1.4,94.86,86.62
1971,"fasy",35.027,24.686,1,55.76,99.04
1971,"fasy",38.142,25.307,1.4,23.36,62.48
1971,"fasy",21.466,21.895,0.2,71.34,21.24
1971,"fasy",27.786,23.006,0.7,38.78,8.06
1971,"fasy",33.089,24.445,1,39.47,47.37
1971,"fasy",39.187,25.474,1.4,71.11,58.9
1971,"fasy",48.381,26.891,2.3,17.91,45.45
1971,"fasy",41.069,25.807,1.4,35.71,3.07
1971,"fasy",38.734,25.394,1.4,95.36,71.93
1971,"fasy",41.192,25.807,1.4,24.62,30.99
1971,"fasy",26.927,22.924,0.4,93.3,52.62
1971,"fasy",47.163,26.741,1.8,9.5,62.14
1971,"fasy",31.794,23.924,0.7,29.12,56.34
1971,"fasy",36.184,24.941,1,5.27,22.62
1971,"fasy",44.773,26.425,1.8,21.16,74.64
1971,"fasy",41.867,25.907,1.4,89.88,18.71
1971,"fasy",38.714,25.401,1.4,91.58,36.4
1971,"fasy",43.416,26.136,1.8,89.87,85.59
1971,"fasy",46.316,26.559,1.8,55.64,68.65
1971,"fasy",40.671,25.748,1.4,2.02,1.25
1971,"fasy",42.364,26.04,1.4,94.54,18.06
1971,"fasy",46.665,26.586,1.8,32.29,48.04
1971,"fasy",37.503,25.18,1.4,59.84,35.65
1971,"fasy",28.598,23.079,0.7,43.01,2.95
1971,"fasy",41.264,25.85,1.4,65.52,67.83
1971,"fasy",42.532,25.98,1.8,79.78,5.29
1971,"fasy",41.492,25.887,1.4,20.3,36.39
1971,"fasy",27.491,22.943,0.4,98.03,42.7
1971,"fasy",46.071,26.562,1.8,78.39,91.74
1971,"fasy",43.723,26.207,1.8,12,31.26
1971,"fasy",46.106,26.564,1.8,21.05,74.89
1971,"fasy",39.687,25.545,1.4,1.46,85.19
1971,"fasy",37.64,25.198,1.4,96.58,17.85
1971,"fasy",35.944,24.871,1,6.78,9.79
1971,"fasy",38.397,25.328,1.4,43.9,28.63
1971,"fasy",32.148,24.029,0.7,49.47,19.12
1971,"fasy",36.43,24.972,1,59.44,51.36
1971,"fasy",20.021,20.097,0.2,66.58,1.96
1971,"fasy",31.74,23.982,0.7,10.04,9.88
1971,"fasy",31,23.752,0.7,30.87,86.89
1971,"fasy",25.108,21.966,0.4,42.2,96.62
1971,"fasy",18.675,19.267,0.2,67.35,2.48
1971,"fasy",31.047,23.743,0.7,61.28,15.93
1971,"fasy",49.429,26.992,2.3,85.35,77.75
1971,"fasy",38.279,25.317,1.4,21.27,55
1971,"fasy",44.097,26.302,1.8,3.11,69.4
1971,"fasy",46.057,26.548,1.8,43.79,91.91
1971,"fasy",49.715,27.052,2.3,11.23,79.09
1971,"fasy",30.83,23.707,0.7,51.67,89.81
1971,"fasy",43.633,26.212,1.8,63.73,74.39
1971,"fasy",43.56,26.136,1.8,93.69,85.55
1971,"fasy",21.735,20.807,0.2,50.01,78.1
1971,"fasy",24.292,21.759,0.4,97.08,55.72
1971,"fasy",32.821,24.17,1,73.6,92.37
1971,"fasy",47.633,26.789,2.3,57.9,86.29
1971,"fasy",25.503,22.503,0.4,81,54.11
1971,"fasy",37.647,25.206,1.4,63.48,9.49
1971,"fasy",31.168,23.848,0.7,51.63,44.86
1971,"fasy",42.689,26.082,1.8,30.28,40.55
1971,"fasy",34.709,24.612,1,32.56,43.6
1971,"fasy",43.276,26.169,1.8,58.51,17.88
1971,"fasy",26.284,22.525,0.4,68.31,5.6
1971,"fasy",44.122,26.212,1.8,81.74,31.78
1971,"fasy",40.473,25.701,1.4,57.06,65.16
1971,"fasy",31.089,23.792,0.7,64.84,54.07
1971,"fasy",43.634,26.198,1.8,82.9,3.93
1971,"fasy",47.478,26.732,1.8,66.08,65.46
1971,"fasy",45.386,26.48,1.8,26.39,18.7
1971,"fasy",21.716,20.696,0.2,42.64,64.12
1971,"fasy",45.094,26.405,1.8,42.33,69.9
1971,"fasy",47.016,26.636,1.8,45.11,64.96
1971,"fasy",18.126,19.05,0.2,14.52,86.53
1971,"fasy",25.345,22.133,0.4,42.29,97.74
1971,"fasy",45.226,26.456,1.8,35.3,99.21
1971,"fasy",31.79,23.956,0.7,59.88,59.06
1971,"fasy",31.239,23.835,0.7,67.56,36.84
1971,"fasy",45.186,26.422,1.8,69.04,13.39
1971,"fasy",40.384,25.67,1.4,4.9,38.28
1971,"fasy",30.676,23.624,0.7,1.55,73.81
1971,"fasy",41.167,25.819,1.4,58.1,86.91
1971,"fasy",40.826,25.786,1.4,26.6,4.15
1971,"fasy",38.843,25.403,1.4,73.05,29.26
1971,"fasy",34.028,24.484,1,18.16,47.19
1971,"fasy",24.756,21.824,0.4,15.78,30.45
1971,"fasy",32.877,24.213,1,16.2,64.64
1971,"fasy",49.566,26.855,2.3,16.25,83.45
1971,"fasy",27.586,22.838,0.7,69.19,68.69
1971,"fasy",41.131,25.821,1.4,27.48,21.45
1971,"fasy",41.49,25.881,1.4,99.83,31.83
1971,"fasy",29.582,23.425,0.7,68.83,26.44
1971,"fasy",29.901,23.46,0.7,29.01,16.92
1971,"fasy",39.073,25.446,1.4,55.66,59.04
1971,"fasy",26.239,22.623,0.4,8.17,13.51
1971,"fasy",49.162,26.873,2.3,4.22,74.84
1971,"fasy",30.113,23.672,0.7,49.63,25.65
1971,"fasy",43.978,26.271,1.8,48.07,32.32
1971,"fasy",49.68,27.033,2.3,54.21,78.93
1971,"fasy",38.804,25.433,1.4,71.73,35.9
1971,"fasy",31.826,23.985,0.7,6.32,35.79
1971,"fasy",38.12,25.298,1.4,70.62,76.05
1971,"fasy",33.676,24.395,1,93.24,30.96
1971,"fasy",39.312,25.487,1.4,65.94,97.79
1971,"fasy",18.811,19.178,0.2,14.92,72.71
1971,"fasy",34.115,24.506,1,6.03,80.37
1971,"fasy",30.414,23.765,0.7,0.16,20.44
1971,"fasy",46.945,26.708,1.8,47.54,94.8
1971,"fasy",35.191,24.728,1,22.07,0.09
1971,"fasy",42.59,26.053,1.8,88.17,11.97
1971,"fasy",40.79,25.759,1.4,88.35,8.68
1971,"fasy",51.025,27.201,2.3,75.68,87.33
1971,"fasy",39.208,25.486,1.4,28,64.64
1971,"fasy",54.847,27.528,2.8,83.47,23.16
1971,"fasy",41.002,25.734,1.4,46.9,59.25
1971,"fasy",32.209,24.047,0.7,24.04,94.45
1971,"fasy",32.545,24.13,1,25.32,6.83
1971,"fasy",39.575,25.556,1.4,38.87,40.42
1971,"fasy",31.016,23.805,0.7,0.89,41.04
1971,"fasy",38.389,25.327,1.4,12.36,21.44
