year,species,D_cm,H_m,V_m3,X_utm,Y_utm,weight
1967,fasy,58.5,28.939943313598633,3.364574101979675,NA,NA,0.9057597544106232
1967,fasy,52.5,28.336917877197266,2.701678499379435,NA,NA,2.6659485228342747
1967,fasy,41.5,26.65182876586914,1.6391145492837047,NA,NA,8.151964885978222
1967,fasy,48.5,27.825122833251953,2.2908731469847927,NA,NA,4.5539022493593935
1967,fasy,6.5,8.88129711151123,0.0,NA,NA,0.17165523956318954
1967,fasy,78.5,30.043241500854492,5.904504205171385,NA,NA,0.002258717082110274
1967,fasy,93.5,30.387128829956055,8.056675612668059,NA,NA,2.24458684571148E-6
1967,fasy,34.5,25.00664710998535,1.0832749851861678,NA,NA,9.291255162841276
1967,fasy,72.5,29.816814422607422,5.096408644542785,NA,NA,0.020084675271292693
1967,fasy,82.5,30.161022186279297,6.461508987657987,NA,NA,4.376889589279844E-4
1967,fasy,87.5,30.2790584564209,7.175958271907603,NA,NA,4.573662505410036E-5
1967,fasy,12.5,14.268235206604004,0.08137980534420824,NA,NA,0.7416406033792449
1967,fasy,33.5,24.723087310791016,1.0124264426629361,NA,NA,9.123993601623885
1967,fasy,46.5,27.529436111450195,2.095589568509956,NA,NA,5.631726063280483
1967,fasy,102.5,30.499488830566406,9.416911101345903,NA,NA,1.3102380970726274E-8
1967,fasy,27.5,22.704776763916016,0.6356638289269131,NA,NA,6.742484904401093
1967,fasy,71.5,29.77214813232422,4.965206166869306,NA,NA,0.027991563817760107
1967,fasy,74.5,29.899822235107422,5.361886421970573,NA,NA,0.010058564280997462
1967,fasy,92.5,30.371267318725586,7.908280738333313,NA,NA,3.7960144393011233E-6
1967,fasy,35.5,25.276920318603516,1.1563349481704164,NA,NA,9.37480936868033
1967,fasy,57.5,28.851282119750977,3.250434594837807,NA,NA,1.109573855702023
1967,fasy,80.5,30.105031967163086,6.181293523006616,NA,NA,0.0010127831773729793
1967,fasy,81.5,30.133716583251953,6.320983327534749,NA,NA,6.688700146149466E-4
1967,fasy,62.5,29.254287719726562,3.834781398585499,NA,NA,0.36679769491333414
1967,fasy,54.5,28.55780601501465,2.916671051976098,NA,NA,1.9300902910211168
1967,fasy,83.5,30.187013626098633,6.602849651874671,NA,NA,2.837841076877331E-4
1967,fasy,86.5,30.257720947265625,7.031559284858191,NA,NA,7.31892315209227E-5
1967,fasy,97.5,30.443275451660156,8.656052423901318,NA,NA,2.5023995711228973E-7
1967,fasy,5.5,7.835864067077637,0.0,NA,NA,0.13023554774739812
1967,fasy,55.5,28.660438537597656,3.0264531286101772,NA,NA,1.6197146777420328
1967,fasy,16.5,17.12308120727539,0.17428551463072395,NA,NA,1.6362782782907097
1967,fasy,28.5,23.082548141479492,0.6925450559106717,NA,NA,7.2563386195211015
1967,fasy,37.5,25.780010223388672,1.308945877383283,NA,NA,9.283986308717921
1967,fasy,3.5,5.607423782348633,0.0,NA,NA,0.07292398393330728
1967,fasy,45.5,27.370485305786133,2.000597207175379,NA,NA,6.176869032127429
1967,fasy,66.5,29.512767791748047,4.3255011454008345,NA,NA,0.12817942501925267
1967,fasy,21.5,20.019672393798828,0.34621404736114586,NA,NA,3.576070822128795
1967,fasy,91.5,30.354602813720703,7.760503938966371,NA,NA,6.360890185537038E-6
1967,fasy,43.5,27.028526306152344,1.8160869440128082,NA,NA,7.227998634830684
1967,fasy,26.5,22.308591842651367,0.5812147417614838,NA,NA,6.207562012754657
1967,fasy,98.5,30.455659866333008,8.807252201218766,NA,NA,1.413052134790978E-7
1967,fasy,50.5,28.093448638916016,2.492992260512571,NA,NA,3.5491180983107196
1967,fasy,14.5,15.76155948638916,0.12301493433624479,NA,NA,1.1220909445384817
1967,fasy,25.5,21.89312171936035,0.5292223836183659,NA,NA,5.662663996264858
1967,fasy,2.5,4.423734188079834,0.0,NA,NA,0.05381938790539089
1967,fasy,4.5,6.744814872741699,0.0,NA,NA,0.09790404798060617
1967,fasy,0.5,1.9307588338851929,0.0,NA,NA,0.02851486855525759
1967,fasy,13.5,15.032075881958008,0.10101728734530735,NA,NA,0.9164556642564391
1967,fasy,10.5,12.631662368774414,0.04892248443548104,NA,NA,0.4724474219627137
1967,fasy,89.5,30.318695068359375,7.466879818969817,NA,NA,1.737375904453327E-5
1967,fasy,95.5,30.41659164428711,8.355242504071066,NA,NA,7.633950599019726E-7
1967,fasy,18.5,18.36363983154297,0.23548440306690704,NA,NA,2.2997510487406787
1967,fasy,68.5,29.62420654296875,4.57802551957855,NA,NA,0.07169782297659061
1967,fasy,51.5,28.218143463134766,2.5965310148952807,NA,NA,3.0902014010804124
1967,fasy,15.5,16.45810317993164,0.14742401435994534,NA,NA,1.3612669249860503
1967,fasy,75.5,29.938365936279297,5.496116749045215,NA,NA,0.007020523907296021
1967,fasy,101.5,30.48933219909668,9.263804270940147,NA,NA,2.4074350340110175E-8
1967,fasy,70.5,29.725234985351562,4.835059236979518,NA,NA,0.038653438754927535
1967,fasy,64.5,29.389850616455078,4.0776844222625535,NA,NA,0.22086413224623438
1967,fasy,63.5,29.323728561401367,3.955605725054582,NA,NA,0.28594109692819775
1967,fasy,24.5,21.457462310791016,0.4797088667974939,NA,NA,5.118222486641748
1967,fasy,59.5,29.024381637573242,3.4801072370279194,NA,NA,0.7326026090160724
1967,fasy,7.5,9.882226943969727,0.01593473919210935,NA,NA,0.22417295644971694
1967,fasy,47.5,27.680864334106445,2.1923597507869257,NA,NA,5.087603908192421
1967,fasy,1.5,3.195570468902588,0.0,NA,NA,0.039355528623442826
