"year","species","D_cm","H_m","V_m3","X_utm","Y_utm"
1997,"fasy",25.3,24.2,0.4,39.86,86.3
1997,"fasy",25.6,24.3,0.4,1.69,99.2
1997,"fasy",33.1,24.9,1,95.26,50.61
1998,"fasy",14.819,22.916,0.13,49.57,75.44
2000,"fasy",25.054,24.464,0.4,56.1,74.7
2000,"fasy",16.154,35.414,0.13,11.2,90.47
1997,"fasy",39.5,25.3,1.4,83.93,68.94
2000,"fasy",26.928,24.641,0.4,52.98,8.4
2000,"fasy",29.486,24.934,0.7,53.07,22.51
1997,"fasy",10.4,20.5,0.051,3.58,59.72
1997,"fasy",11.5,21.1,0.051,72.51,83.61
2000,"fasy",20.875,27.786,0.2,55.93,6.2
2000,"fasy",28.411,24.835,0.7,15.98,53.72
1997,"fasy",36.3,25.1,1,50.53,52.34
1997,"fasy",23.1,23.9,0.4,49.96,86.75
1997,"fasy",12.4,21.5,0.051,95.12,88.97
2000,"fasy",22.805,27.56,0.4,85.37,87.9
1997,"fasy",20.7,23.6,0.2,37.64,40.44
1997,"fasy",19,23.3,0.2,97.77,26.42
1997,"fasy",8.4,19.3,0.051,16.93,13.01
1997,"fasy",11.7,21.2,0.051,73.79,51.05
1997,"fasy",22.9,23.9,0.4,13.09,58.32
2000,"fasy",13.677,22.635,0.13,53.39,61.15
2000,"fasy",13.633,23.984,0.13,65.23,33.68
1997,"fasy",13.1,21.7,0.13,34.32,11.61
2000,"fasy",23.164,24.351,0.4,7.24,76.2
1997,"fasy",24,24.1,0.4,40.82,58.06
1997,"fasy",34.7,25,1,50.61,0.67
1997,"fasy",26.1,24.3,0.4,83.37,41.54
1997,"fasy",24.7,24.1,0.4,99.29,98.34
1997,"fasy",9.5,20,0.051,71.17,85.49
1997,"fasy",24.5,24.1,0.4,26.63,76.18
2000,"fasy",35.652,25.914,1,87.72,35.58
2000,"fasy",19.231,25.706,0.2,18.47,28.52
2000,"fasy",19.619,25.828,0.2,28.96,55.86
1997,"fasy",24.6,24.1,0.4,19.35,52.34
1997,"fasy",25.3,24.2,0.4,17.73,66.53
1997,"fasy",19.3,23.3,0.2,89.22,91.24
1997,"fasy",8.4,19.3,0.051,34.41,82.79
2000,"fasy",37.433,25.341,1,28.74,56.17
2000,"fasy",19.326,27.97,0.2,69.62,23.68
1997,"fasy",25.9,24.3,0.4,58.51,25.49
1997,"fasy",11.7,21.2,0.051,1.47,67.87
1997,"fasy",36.9,25.2,1,55.51,8.2
2000,"fasy",20.136,24.361,0.2,71.01,44.97
2000,"fasy",24.431,25.047,0.4,48.25,73.24
1997,"fasy",26.4,24.3,0.4,75.69,99.24
2000,"fasy",23.124,25.516,0.4,94.15,81.57
1997,"fasy",29.8,24.7,0.7,84.07,64.77
1997,"fasy",25.6,24.3,0.4,9.09,34.42
1997,"fasy",39.3,25.3,1.4,36.37,1.83
2000,"fasy",22.846,24.165,0.4,33.53,39.04
1997,"fasy",14.7,22.2,0.13,97.91,75.5
1997,"fasy",18.3,23.1,0.2,89.84,2.2
1997,"fasy",13.5,21.9,0.13,83.09,34.69
1997,"fasy",20.8,23.6,0.2,63.88,39.59
1997,"fasy",26,24.3,0.4,31.99,43.67
2000,"fasy",19.18,24.038,0.2,47.59,61.06
2000,"fasy",25.346,24.718,0.4,96.14,1.73
1997,"fasy",6.5,17.6,0.01,47.63,25.22
1997,"fasy",25.7,24.3,0.4,17.62,95.32
2000,"fasy",25.596,25.166,0.4,40.82,58.06
1997,"fasy",22.7,23.9,0.4,66.83,9.31
2000,"fasy",21.708,24.785,0.2,56.4,17.98
1997,"fasy",19.2,23.3,0.2,38.94,62.61
2000,"fasy",15.311,23.866,0.13,53.17,62.79
1997,"fasy",17.7,23,0.2,0.93,92
1997,"fasy",6.6,17.6,0.01,4.52,66.16
1997,"fasy",29.8,24.7,0.7,89.24,5.36
2000,"fasy",11.763,24.856,0.051,3.58,59.72
1997,"fasy",13.3,21.8,0.13,53.39,61.15
1997,"fasy",18.7,23.2,0.2,74.24,13.96
1998,"fasy",23.917,25.016,0.4,75.61,82.18
1997,"fasy",20.2,23.5,0.2,59.42,99.73
1997,"fasy",31.1,24.8,0.7,5.06,21.47
2000,"fasy",18.936,24.035,0.2,9.5,10.82
1997,"fasy",20,23.5,0.2,80.2,43.04
1997,"fasy",11,20.8,0.051,26.4,29.27
2000,"fasy",18.032,25.012,0.2,34.3,17.39
2000,"fasy",21.653,26.553,0.2,35.71,68.51
1997,"fasy",11,20.8,0.051,99.2,41.3
2000,"fasy",23.959,24.874,0.4,56.08,23.37
2000,"fasy",12.233,22.347,0.051,11.8,44.81
1997,"fasy",28.6,24.6,0.7,67.18,50.81
