"year","species","D","H"
1967,"piab",28.1,19.9243
1967,"piab",27.6,19.6544
1967,"piab",25.4,18.444
1967,"piab",25.3,18.388
1967,"piab",24.4994,17.9375
1967,"piab",24.2992,17.824
1967,"piab",23.6012,17.4259
1967,"piab",23.4011,17.311
1967,"piab",22.2003,16.615
1967,"piab",21.3001,16.0853
1967,"piab",20.5992,15.6682
1967,"piab",20.2009,15.4294
1967,"piab",41.8689,26.6546
1967,"piab",39.7202,25.6886
1967,"piab",39.1066,25.4073
1967,"piab",38.902,25.3129
1967,"piab",38.1857,24.9805
1967,"piab",37.4088,24.6161
1967,"piab",36.8385,24.3461
1967,"piab",36.576,24.2211
1967,"piab",36.1115,23.9987
1967,"piab",35.0238,23.4722
1967,"piab",35.0238,23.4722
1967,"piab",34.1299,23.0334
1967,"piab",33.2754,22.6087
1967,"piab",31.7192,21.8221
1967,"piab",31.5826,21.7522
1967,"piab",30.6417,21.2672
1967,"piab",30.1081,20.9893
1967,"piab",29.7786,20.8166
1967,"piab",29.6523,20.7502
1967,"piab",29.3267,20.5785
1967,"piab",28.7022,20.2469
1967,"piab",28.4814,20.1289
1967,"piab",28.3564,20.062
1967,"piab",28.3564,20.062
1967,"piab",27.9226,19.8287
1967,"piab",27.9226,19.8287
1967,"piab",27.2,19.4371
1967,"piab",27,19.328
1967,"piab",26.9,19.2733
1967,"piab",26.2,18.8885
1967,"piab",26,18.7778
1967,"piab",25.1,18.276
1967,"piab",24.3993,17.8808
1967,"piab",24.3993,17.8808
1967,"piab",24.2992,17.824
1967,"piab",23.301,17.2535
1967,"piab",23.2009,17.1958
1967,"piab",22.9007,17.0224
1967,"piab",22.3004,16.6734
1967,"piab",22.3004,16.6734
1967,"piab",22.2003,16.615
1967,"piab",21.2,16.026
1967,"piab",43.0955,27.1931
1967,"piab",42.0733,26.745
1967,"piab",41.9711,26.6999
1967,"piab",41.1518,26.3355
1967,"piab",38.1632,24.97
1967,"piab",37.794,24.7973
1967,"piab",37.1202,24.4798
1967,"piab",35.9412,23.9168
1967,"piab",35.7842,23.8411
1967,"piab",35.0198,23.4702
1967,"piab",34.6651,23.2968
1967,"piab",34.4144,23.1737
1967,"piab",34.2671,23.1011
1967,"piab",33.8192,22.8796
1967,"piab",33.6773,22.8091
1967,"piab",32.7323,22.3362
1967,"piab",31.7926,21.8596
1967,"piab",31.6616,21.7926
1967,"piab",31.1309,21.5202
1967,"piab",30.5031,21.1952
1967,"piab",29.9786,20.9215
1967,"piab",29.8573,20.8579
1967,"piab",29.4373,20.6369
1967,"piab",29.1193,20.4686
1967,"piab",28.703,20.2473
1967,"piab",28.6,20.1923
1967,"piab",28.3,20.0317
1967,"piab",27.5,19.6002
1967,"piab",27,19.328
1967,"piab",26.9,19.2733
1967,"piab",26.6,19.1089
1967,"piab",25.6,18.5556
1967,"piab",25.4,18.444
1967,"piab",25.1,18.276
1967,"piab",24.3993,17.8808
1967,"piab",21.5001,16.2035
1967,"piab",19.2001,14.8232
1967,"piab",14.3015,11.7295
1967,"piab",41.9711,26.6999
1967,"piab",40.8451,26.198
1967,"piab",40.1293,25.8748
1967,"piab",38.6973,25.2183
1967,"piab",37.5674,24.6909
1967,"piab",36.7925,24.3242
1967,"piab",35.697,23.799
1967,"piab",35.697,23.799
1967,"piab",35.0978,23.5083
1967,"piab",34.5382,23.2345
1967,"piab",33.4751,22.7084
1967,"piab",31.8101,21.8685
1967,"piab",31.6704,21.7972
1967,"piab",31.4312,21.6746
1967,"piab",31.194,21.5527
1967,"piab",30.8475,21.3738
1967,"piab",30.8475,21.3738
1967,"piab",30.2935,21.0861
1967,"piab",29.9644,20.9141
1967,"piab",28.6332,20.21
1967,"piab",27.5075,19.6043
1967,"piab",26.6864,19.1563
1967,"piab",25.7678,18.6489
1967,"piab",24.7512,18.0797
1967,"piab",23.6388,17.4475
1967,"piab",23.5281,17.384
1967,"piab",21.616,16.2719
1967,"piab",44.3218,27.7222
1967,"piab",42.38,26.8802
1967,"piab",41.9711,26.6999
1967,"piab",41.7653,26.6087
