id_plot;xl93;yl93;elevation;pH;slope;expo;depth_layer1;depth_total;text_layer1;text_layer2;rockContent;swhc;CN_ratio;humus
928881;941311;6510741;1147;7.20390211028;71;263;NA;2;0;9;5;9.32;26.0073902131579;25
935323;947288;6508692;1274;6.41519441742857;60;330;NA;6;0;7;1;64.14525;21.8844961423077;31
942265;939433;6524745;1085;6.39884748466667;68;123;NA;5;0;7;2;39.168;17.9225065371429;31
946295;948459;6528664;573;6.41031324348485;37;102;NA;5;0;7;1;53.703;14.9791430754839;50
948761;944274;6506719;928;6.89806767848718;64;130;NA;3;0;9;3;18.368;17.1672024348571;40
949891;936333;6512783;1213;6.495661441125;59;120;NA;2;0;0;4;0;22.1548154817143;15
951294;939261;6504764;1083;6.13529887365625;35;330;NA;9;0;9;0;87.555;14.6063606363333;50
951611;942224;6500742;872;6.54407190721429;69;123;NA;5;0;7;4;25.704;17.0066237392308;31
952222;934369;6516796;904;6.54704787133333;80;321;NA;3;0;7;6;14.586;22.118811882;30
956548;947288;6508692;977;6.68146480162069;27;310;NA;3;0;7;2;26.928;21.6787278732;22
956733;954264;6506633;460;6.80658624191667;72;130;NA;3;0;7;7;10.9395;14.7269726975;45
957790;956314;6512610;852;5.86623679033333;45;188;NA;3;0;7;4;20.196;13.4188418833333;31
958993;938297;6508769;1347;6.08442569260417;16;88;NA;1;0;0;0;0;25.0962704965217;10
962631;952387;6520637;847;6.1430242115;46;47;NA;6;0;7;3;46.053;19.2041022290909;40
968384;936247;6502792;595;6.81240392890164;NA;NA;5;7;7;9;3;54.7365;15.8663366336538;31
974588;958364;6518587;962;6.0484685135;38;305;NA;5;0;7;2;47.736;12.0842084216667;42
1003351;938417;6522756;993;5.6972046538;57;255;NA;2;0;5;8;0.592;16.445501695;20
1008648;940467;6528733;1308;5.7986373013125;27;396;NA;5;0;5;1;50.688;16.3557605753125;31
1014449;942517;6534710;832;5.93504005241935;10;110;NA;9;0;6;2;82.496;20.2696269623333;31
1014595;954299;6510629;1311;6.26751193290909;80;65;NA;4;0;5;7;5.112;14.765376539;31
1016269;942431;6524720;1135;5.79975493375;53;120;NA;4;0;7;4;14.79;17.7201633204348;30
1017624;946358;6516693;1056;6.3778313832;59;97;2;4;5;7;3;36.4455;20.0953573613043;45
1020722;940467;6528733;1277;5.414206254;55;333;5;7;6;5;8;16.016;19.227722772;31
1023099;932268;6504825;652;7.05108433572727;78;288;NA;4;0;5;4;30.672;23.2531434963636;45
1023399;956262;6506616;303;6.60332650911765;0;NA;6;9;6;5;0;124.5075;10.748408175;55
1024688;938245;6502775;1036;6.84739123913333;78;259;NA;3;0;7;6;13.464;25.5635206378571;45
1025959;936281;6506788;893;6.94982062722581;68;188;NA;3;0;9;3;18.368;22.0659843762963;40
1026577;930304;6508838;966;6.46310588968421;21;310;NA;4;0;9;1;37.11825;19.4768424215789;42
1030467;936195;6496798;867;7.7441469145;78;255;NA;2;0;9;5;9.32;19.476447645;31
1100083;934266;6504807;1098;6.85427206359091;72;178;NA;4;0;7;5;22.185;18.8046173036842;45
1110002;938366;6516762;914;6.75297444638298;37;108;NA;4;0;7;0;24.65;24.0169626717073;31
1111145;938193;6496781;942;6.65683062429412;NA;NA;NA;3;0;9;5;15.99;19.569156916;22
1111166;948356;6516675;1348;5.96622128876191;55;322;NA;5;0;9;3;32.634;16.6493467531818;42
1113085;932302;6508821;1400;6.42386206624;40;105;NA;4;0;9;3;26.649;17.2777495143478;45
1117819;944256;6504721;927;6.8890083642439;48;129;NA;4;0;7;4;23.664;16.0933446288235;30
1117923;936402;6520775;1306;6.052086416875;50;323;NA;4;0;5;2;31.808;19.880901133913;31
1119387;954419;6524616;716;7.098333442;78;216;NA;2;0;6;7;2.781;21.0387038705;55
1120019;940415;6522739;1462;5.93375885214286;14;60;NA;4;0;6;5;2.945;23.8161088831818;42
1120756;944343;6514712;923;6.27058166933333;66;297;NA;4;0;7;5;14.79;21.4713824335294;20
1122584;936316;6510784;1190;6.17394503087879;22;352;NA;9;0;7;0;106.08;13.9183918396552;55
1126513;930339;6512834;823;6.58716041173913;30;269;NA;4;0;9;3;23.688;23.4983498356522;45
1126897;940329;6512748;1308;6.63811507463158;74;110;NA;3;0;5;3;6.048;24.6318316036842;31
